category,filename,title,content
business,105.txt,Budget Aston takes on Porsche,British ca
business,449.txt,Wal-Mart fights back at accusers,Two big US
business,313.txt,Irish company hit by Iraqi report,Shares in 
business,475.txt,Watchdog probes Vivendi bond sale,French sto
business,461.txt,Beijingers fume over parking fees,Choking tr
business,307.txt,Cairn shares slump on oil setback,Shares in 
business,460.txt,Jobs go at Oracle after takeover,Oracle has
business,306.txt,Retail sales show festive fervour,UK retail 
business,312.txt,Parmalat sues 45 banks over crash,Parmalat h
business,474.txt,Virgin Blue shares plummet 20%,Shares in 
business,448.txt,US Ahold suppliers face charges,US prosecu
business,104.txt,US seeks new $280bn smoker ruling,The US Jus
business,110.txt,Japanese growth grinds to a halt,Growth in 
business,138.txt,Winter freeze keeps oil above $50,Oil prices
business,070.txt,Circuit City gets takeover offer,Circuit Ci
business,064.txt,Lufthansa may sue over Bush visit,German air
business,058.txt,Electrolux to export Europe jobs,Electrolux
business,272.txt,Markets signal Brazilian recovery,The Brazil
business,266.txt,Could Yukos be a blessing in disguise?,Other thin
business,500.txt,Low-cost airlines hit Eurotunnel,Channel Tu
business,299.txt,US to rule on Yukos refuge call,Yukos has 
business,201.txt,Novartis hits acquisition trail,Swiss drug
business,215.txt,SEC to rethink post-Enron rules,The US sto
business,229.txt,Shares rise on new Man Utd offer,Shares in 
business,003.txt,Yukos unit buyer faces loan claim,The owners
business,017.txt,Parmalat boasts doubled profits,"Parmalat, "
business,188.txt,Qwest may spark MCI bidding war,US phone c
business,177.txt,Optimism remains over UK housing,The UK pro
business,163.txt,US data sparks inflation worries,Wholesale 
business,375.txt,S Korean credit card firm rescued,South Kore
business,413.txt,EC calls truce in deficit battle,The Europe
business,407.txt,India's Deccan gets more planes,Air Deccan
business,361.txt,US consumer confidence up,Consumers'
business,349.txt,S Korean lender faces liquidation,Creditors 
business,348.txt,US to probe airline travel chaos,The US gov
business,406.txt,Mixed Christmas for US retailers,US retaile
business,360.txt,Record year for Chilean copper,Chile's co
business,374.txt,Dollar hovers around record lows,The US dol
business,412.txt,Iran budget seeks state sell-offs,Iran's pre
business,162.txt,Verizon 'seals takeover of MCI',Verizon ha
business,176.txt,GSK aims to stop Aids profiteers,One of the
business,189.txt,Fiat chief takes steering wheel,The chief 
business,016.txt,China keeps tight rein on credit,China's ef
business,002.txt,Dollar gains on Greenspan speech,The dollar
business,228.txt,Tsunami 'to hit Sri Lanka banks',Sri Lanka'
business,214.txt,Economy 'strong' in election year,UK busines
business,200.txt,Cuba winds back economic clock,Fidel Cast
business,216.txt,Nissan names successor to Ghosn,Nissan has
business,202.txt,MCI shareholder sues to stop bid,A sharehol
business,014.txt,Telegraph newspapers axe 90 jobs,The Daily 
business,028.txt,Strong demand triggers oil rally,Crude oil 
business,160.txt,GM pays $2bn to evade Fiat buyout,General Mo
business,174.txt,Yangtze Electric's profits double,Yangtze El
business,148.txt,Alfa Romeos 'to get GM engines',Fiat is to
business,389.txt,Egypt to sell off state-owned bank,The Egypti
business,362.txt,Cash gives way to flexible friend,Spending o
business,404.txt,Continental 'may run out of cash',Shares in 
business,410.txt,DaimlerChrysler's 2004 sales rise,US-German 
business,376.txt,Dollar slides ahead of New Year,The US dol
business,438.txt,UK interest rates held at 4.75%,The Bank o
business,439.txt,German economy rebounds,Germany's 
business,411.txt,Tsunami cost hits Jakarta shares,The stock 
business,377.txt,VW considers opening Indian plant,Volkswagen
business,363.txt,Go-ahead for Balkan oil pipeline,"Albania, B"
business,405.txt,House prices rebound says Halifax,UK house p
business,388.txt,Venezuela identifies 'idle' farms,Venezuelan
business,149.txt,Saab to build Cadillacs in Sweden,General Mo
business,175.txt,French consumer spending rising,French con
business,161.txt,Ex-Boeing director gets jail term,An ex-chie
business,029.txt,UK firm faces Venezuelan land row,Venezuelan
business,001.txt,Ad sales boost Time Warner profit,Quarterly 
business,015.txt,Air passengers win new EU rights,Air passen
business,203.txt,'Standoff' on Deutsche's LSE bid,Deutsche B
business,217.txt,Ukraine trims privatisation check,Ukraine is
business,213.txt,US bank boss hails 'genius' Smith,US Federal
business,207.txt,EMI shares hit by profit warning,Shares in 
business,039.txt,Chinese wine tempts Italy's Illva,Italy's Il
business,011.txt,Ask Jeeves tips online ad revival,Ask Jeeves
business,005.txt,Pernod takeover talk lifts Domecq,Shares in 
business,159.txt,India unveils anti-poverty budget,India is t
business,165.txt,Consumer spending lifts US growth,US economi
business,171.txt,Deutsche Boerse boosts dividend,Deutsche B
business,398.txt,Tsunami to cost Sri Lanka $1.3bn,Sri Lanka 
business,429.txt,US trade gap ballooned in October,The US tra
business,401.txt,Marsh executive in guilty plea,An executi
business,367.txt,Takeover offer for Sunderland FC,Bob Murray
business,373.txt,Quiksilver moves for Rossignol,Shares of 
business,415.txt,UK house prices dip in November,UK house p
business,372.txt,Madagascar completes currency switch,Madagascar
business,414.txt,Enron bosses in $168m payout,Eighteen f
business,400.txt,Monsanto fined $1.5m for bribery,The US agr
business,366.txt,WMC says Xstrata bid is too low,Australian
business,428.txt,Karachi stocks hit historic high,The Karach
business,399.txt,Indian oil firm eyes Yukos assets,India's bi
business,170.txt,House prices suffer festive fall,UK house p
business,164.txt,Yukos sues four firms for $20bn,Russian oi
business,158.txt,Qatar and Shell in $6bn gas deal,Shell has 
business,004.txt,High fuel prices hit BA's profits,British Ai
business,010.txt,Court rejects $280bn tobacco case,A US gover
business,038.txt,Deutsche Telekom sees mobile gain,German tel
business,206.txt,Standard Life cuts policy bonuses,Standard L
business,212.txt,MG Rover China tie-up 'delayed',MG Rover's
business,238.txt,Firms pump billions into pensions,Employers 
business,204.txt,Bush to outline 'toughest' budget,President 
business,210.txt,Gold falls on IMF sale concerns,The price 
business,006.txt,Japan narrowly escapes recession,Japan's ec
business,012.txt,Indonesians face fuel price rise,Indonesia'
business,199.txt,Georgia plans hidden asset pardon,Georgia is
business,172.txt,Newest EU members underpin growth,The Europe
business,166.txt,Crossrail link 'to get go-ahead',The £10bn 
business,358.txt,Deutsche attacks Yukos case,German inv
business,416.txt,Steady job growth continues in US,The US cre
business,370.txt,US manufacturing expands,US industr
business,364.txt,Durex maker SSL awaits firm bid,UK condom 
business,402.txt,US interest rate rise expected,US interes
business,365.txt,Nasdaq planning $100m-share sale,The owner 
business,403.txt,WorldCom bosses' $54m payout,Ten former
business,417.txt,Barclays shares up on merger talk,Shares in 
business,371.txt,Singapore growth at 8.1% in 2004,Singapore'
business,359.txt,GM in crunch talks on Fiat future,Fiat will 
business,167.txt,Hariri killing hits Beirut shares,Shares in 
business,173.txt,Brewers' profits lose their fizz,Heineken a
business,198.txt,Cairn shares up on new oil find,Shares in 
business,013.txt,Peugeot deal boosts Mitsubishi,Struggling
business,007.txt,Jobs growth still slow in the US,The US cre
business,211.txt,Electronics firms eye plasma deal,Consumer e
business,205.txt,Orange colour clash set for court,A row over
business,239.txt,UK homes hit £3.3 trillion total,The value 
business,220.txt,Standard Life concern at LSE bid,Standard L
business,234.txt,Vodafone appoints new Japan boss,Vodafone h
business,208.txt,China's Shanda buys stake in Sina,Chinese on
business,022.txt,Sluggish economy hits German jobs,The number
business,036.txt,US gives foreign firms extra time,Foreign fi
business,195.txt,UK 'risks breaking golden rule',The UK gov
business,181.txt,India and Russia in energy talks,India and 
business,156.txt,Industrial revival hope for Japan,Japanese i
business,142.txt,Asian banks halt dollar's slide,The dollar
business,397.txt,Green reports shun supply chain,Nearly 20%
business,383.txt,Fed warns of more US rate rises,The US loo
business,354.txt,Asia shares defy post-quake gloom,Thailand h
business,432.txt,BA to suspend two Saudi services,British Ai
business,426.txt,Minister hits out at Yukos sale,Russia's r
business,340.txt,Venezuela and China sign oil deal,Venezuelan
business,368.txt,Warning over US pensions deficit,Taxpayers 
business,369.txt,Beer giant swallows Russian firm,Brewing gi
business,427.txt,Chinese exports rise 25% in 2004,Exports fr
business,341.txt,Jarvis sells Tube stake to Spain,Shares in 
business,355.txt,Israeli economy picking up pace,Israel's e
business,433.txt,Cairn Energy in Indian gas find,Shares in 
business,382.txt,Ban on forced retirement under 65,Employers 
business,396.txt,Profits jump at China's top bank,Industrial
business,143.txt,Weak dollar trims Cadbury profits,The world'
business,157.txt,Khodorkovsky ally denies charges,A close as
business,180.txt,Dollar drops on reserves concerns,The US dol
business,194.txt,'Post-Christmas lull' in lending,UK mortgag
business,037.txt,Japanese mogul arrested for fraud,One of Jap
business,023.txt,Mixed signals from French economy,The French
business,209.txt,Mixed reaction to Man Utd offer,Shares in 
business,235.txt,Pension hitch for long-living men,Male life 
business,221.txt,BP surges ahead on high oil price,Oil giant 
business,237.txt,Britannia members' £42m windfall,More than 
business,223.txt,Gaming firm to sell UK dog tracks,Six UK gre
business,035.txt,Ad firm WPP's profits surge 15%,UK adverti
business,021.txt,Rank 'set to sell off film unit',Leisure gr
business,009.txt,Ethiopia's crop production up 24%,Ethiopia p
business,182.txt,Weak data buffets French economy,A batch of
business,196.txt,Worldcom director ends evidence,The former
business,141.txt,BMW reveals new models pipeline,BMW is pre
business,155.txt,Macy's owner buys rival for $11bn,US retail 
business,169.txt,Buyers snap up Jet Airways' shares,Investors 
business,380.txt,India opens skies to competition,India will
business,394.txt,US Airways staff agree to pay cut,A union re
business,343.txt,Air Jamaica back in state control,The Jamaic
business,425.txt,Nortel in $300m profit revision,Telecoms e
business,431.txt,Mitsubishi in Peugeot link talks,Trouble-hi
business,357.txt,Soros group warns of Kazakh close,The Open S
business,419.txt,$1m payoff for former Shell boss,Shell is t
business,418.txt,US firm 'bids for Lacroix label',A US firm 
business,430.txt,US prepares for hybrid onslaught,Sales of h
business,356.txt,S Korea spending boost to economy,South Kore
business,342.txt,Honda wins China copyright ruling,Japan's Ho
business,424.txt,EU-US seeking deal on air dispute,The EU and
business,395.txt,Delta cuts fares in survival plan,Delta Air 
business,381.txt,Oil rebounds from weather effect,Oil prices
business,168.txt,Small firms 'hit by rising costs',Rising fue
business,154.txt,Golden rule boost for Chancellor,Chancellor
business,140.txt,Ore costs hit global steel firms,Shares in 
business,197.txt,Ukraine steel sell-off 'illegal',The contro
business,183.txt,Business fears over sluggish EU economy,As Europea
business,008.txt,India calls for fair trade rules,"India, whi"
business,020.txt,Call centre users 'lose patience',Customers 
business,034.txt,"Rover deal 'may cost 2,000 jobs'","Some 2,000"
business,222.txt,Oil companies get Russian setback,Internatio
business,236.txt,Card fraudsters 'targeting web',New safegu
business,232.txt,Lloyd's of London head chides FSA,The head o
business,226.txt,McDonald's to sponsor MTV show,McDonald's
business,018.txt,India's rupee hits five-year high,India's ru
business,030.txt,Soaring oil 'hits world economy',The soarin
business,024.txt,US trade gap hits record in 2004,The gap be
business,187.txt,Bank payout to Pinochet victims,A US bank 
business,193.txt,Borussia Dortmund near bust,German foo
business,178.txt,Russia WTO talks 'make progress',Talks on R
business,144.txt,Oil prices fall back from highs,Oil prices
business,150.txt,Shares hit by MS drug suspension,Shares in 
business,385.txt,Tate & Lyle boss bags top award,Tate & Lyl
business,391.txt,Yukos heading back to US courts,Russian oi
business,408.txt,South African car demand surges,Car manufa
business,420.txt,India and Iran in gas export deal,India has 
business,346.txt,Disaster claims 'less than $10bn',Insurers h
business,352.txt,Share boost for feud-hit Reliance,The board 
business,434.txt,Asia quake increases poverty risk,Nearly two
business,353.txt,Giant waves damage S Asia economy,Government
business,435.txt,Fosters buys stake in winemaker,Australian
business,421.txt,LSE 'sets date for takeover deal',The London
business,347.txt,India-Pakistan peace boosts trade,Calmer rel
business,409.txt,UK bank seals South Korean deal,UK-based b
business,390.txt,Wal-Mart to pay $14m in gun suit,The world'
business,384.txt,Weak end-of-year sales hit Next,Next has s
business,151.txt,Bank voted 8-1 for no rate change,The decisi
business,145.txt,Winn-Dixie files for bankruptcy,US superma
business,179.txt,Irish duo could block Man Utd bid,Irishmen J
business,192.txt,Yukos bankruptcy 'not US matter',Russian au
business,186.txt,Huge rush for Jet Airways shares,Indian air
business,025.txt,Yukos loses US bankruptcy battle,A judge ha
business,031.txt,Irish markets reach all-time high,Irish shar
business,019.txt,India widens access to telecoms,India has 
business,227.txt,Call to save manufacturing jobs,The Trades
business,233.txt,Bat spit drug firm goes to market,A German f
business,219.txt,Rescue hope for Borussia Dortmund,Shares in 
business,225.txt,Sales 'fail to boost High Street',The Januar
business,231.txt,Venezuela reviews foreign deals,Venezuela 
business,027.txt,"Steel firm 'to cut' 45,000 jobs",Mittal Ste
business,033.txt,Rich grab half Colombia poor fund,Half of th
business,190.txt,Consumers drive French economy,France's e
business,184.txt,M&S cuts prices by average of 24%,Marks & Sp
business,153.txt,House prices show slight increase,Prices of 
business,147.txt,Malaysia lifts Islamic bank limit,Malaysia's
business,392.txt,Deutsche Boerse set to 'woo' LSE,Bosses of 
business,386.txt,Krispy Kreme shares hit,Shares in 
business,379.txt,Reliance unit loses Anil Ambani,Anil Amban
business,437.txt,China bans new tobacco factories,The world'
business,351.txt,Mild winter drives US oil down 6%,US oil pri
business,345.txt,Quake's economic costs emerging,Asian gove
business,423.txt,Israel looks to US for bank chief,Israel has
business,344.txt,Battered dollar hits another low,The dollar
business,422.txt,News Corp makes $5.4bn Fox offer,News Corpo
business,436.txt,ECB holds rates amid growth fears,The Europe
business,350.txt,Dollar hits new low versus euro,The US dol
business,378.txt,Ukraine strikes Turkmen gas deal,Ukraine ha
business,387.txt,Germany nears 1990 jobless level,German une
business,393.txt,Laura Ashley chief stepping down,Laura Ashl
business,146.txt,Why few targets are better than many,The econom
business,152.txt,Crude oil prices back above $50,Cold weath
business,185.txt,US bank 'loses' customer details,The Bank o
business,191.txt,US regulator to rule on pain drug,US food an
business,032.txt,Japanese banking battle at an end,Japan's Su
business,026.txt,Safety alert as GM recalls cars,The world'
business,230.txt,Yukos drops banks from court bid,Russian oi
business,224.txt,Man Utd to open books to Glazer,Manchester
business,218.txt,Absa and Barclays talks continue,South Afri
business,280.txt,Amex shares up on spin-off news,Shares in 
business,294.txt,Wall Street cheers Bush victory,The US sto
business,243.txt,Making your office work for you,Our missio
business,257.txt,Turkey knocks six zeros off lira,Turkey is 
business,082.txt,Takeover rumour lifts Exel shares,Shares in 
business,096.txt,Burren awarded Egyptian contracts,British en
business,041.txt,Fed chief warning on US deficit,Federal Re
business,055.txt,SA unveils 'more for all' budget,The South 
business,069.txt,Boeing unveils new 777 aircraft,US aircraf
business,135.txt,Feta cheese battle reaches court,A row over
business,121.txt,US interest rates increased to 2%,US interes
business,109.txt,Lufthansa flies back to profit,German air
business,492.txt,Parmalat bank barred from suing,Bank of Am
business,486.txt,India's Reliance family feud heats up,The ongoin
business,451.txt,Winemaker rejects Foster's offer,Australian
business,337.txt,Building giant in asbestos payout,Australian
business,323.txt,No seasonal lift for house market,A swathe o
business,445.txt,Executive trio leave Aer Lingus,Three seni
business,479.txt,Ford gains from finance not cars,"Ford, the "
business,478.txt,Egypt and Israel seal trade deal,In a sign 
business,322.txt,Tokyo says deflation 'controlled',The Japane
business,444.txt,Khodorkovsky quits Yukos shares,Jailed tyc
business,450.txt,US retail sales surge in December,US retail 
business,336.txt,Banker loses sexism claim,A former e
business,487.txt,World leaders gather to face uncertainty,More than 
business,493.txt,China continues rapid growth,China's ec
business,108.txt,Slowdown hits US factory growth,US industr
business,120.txt,Nigeria to boost cocoa production,The govern
business,134.txt,US adds more jobs than expected,The US eco
business,068.txt,India seeks to boost construction,India has 
business,054.txt,Hyundai to build new India plant,South Kore
business,040.txt,Umbro profits lifted by Euro 2004,UK sportsw
business,097.txt,'Strong dollar' call halts slide,The US dol
business,083.txt,Yukos accused of lying to court,Russian oi
business,256.txt,Singapore growth at 8.1% in 2004,Singapore'
business,242.txt,Q&A: Malcolm Glazer and Man Utd,The battle
business,295.txt,Business confidence dips in Japan,Business c
business,281.txt,Axa Sun Life cuts bonus payments,Life insur
business,297.txt,"Dutch bank to lay off 2,850 staff","ABN Amro, "
business,283.txt,Stock market eyes Japan recovery,Japanese s
business,254.txt,News Corp eyes video games market,"News Corp,"
business,240.txt,Economy 'strong' in election year,UK busines
business,268.txt,Giving financial gifts to children,Your child
business,095.txt,Profits slide at India's Dr Reddy,Profits at
business,081.txt,BMW to recall faulty diesel cars,BMW is to 
business,056.txt,BMW drives record sales in Asia,BMW has fo
business,042.txt,UK Coal plunges into deeper loss,Shares in 
business,122.txt,US bank in $515m SEC settlement,Five Bank 
business,136.txt,Ukraine revisits state sell-offs,Ukraine is
business,485.txt,Swiss cement firm in buying spree,Swiss ceme
business,491.txt,Indonesia 'declines debt freeze',Indonesia 
business,446.txt,US in EU tariff chaos trade row,The US has
business,320.txt,Iraq and Afghanistan in WTO talks,The World 
business,334.txt,US firm pulls out of Iraq,A US compa
business,452.txt,McDonald's boss Bell dies aged 44,Charlie Be
business,308.txt,French boss to leave EADS,The French
business,309.txt,AstraZeneca hit by drug failure,Shares in 
business,335.txt,Boeing secures giant Japan order,Boeing is 
business,453.txt,US industrial output growth eases,US industr
business,447.txt,News Corp eyes video games market,"News Corp,"
business,321.txt,Diageo to buy US wine firm,"Diageo, th"
business,490.txt,Brazil jobless rate hits new low,Brazil's u
business,484.txt,UK young top Euro earnings league,British ch
business,137.txt,Bank set to leave rates on hold,UK interes
business,123.txt,Train strike grips Buenos Aires,A strike o
business,043.txt,Saudi ministry to employ women,Women will
business,057.txt,Economy 'stronger than forecast',The UK eco
business,080.txt,"Argentina, Venezuela in oil deal",Argentina 
business,094.txt,US economy shows solid GDP growth,The US eco
business,269.txt,Air China in $1bn London listing,China's na
business,241.txt,G7 backs Africa debt relief plan,G7 finance
business,255.txt,Call to overhaul UK state pension,The UK pen
business,282.txt,Chinese dam firm 'defies Beijing',The China 
business,296.txt,Millions 'to lose textile jobs',Millions o
business,292.txt,Steady job growth continues in US,The US cre
business,286.txt,China continues breakneck growth,China's ec
business,279.txt,German bidder in talks with LSE,Deutsche B
business,251.txt,MCI shares climb on takeover bid,Shares in 
business,245.txt,The 'ticking budget' facing the US,The budget
business,090.txt,French wine gets 70m euro top-up,The French
business,084.txt,Mexican in US send $16bn home,Mexican la
business,053.txt,Weak dollar hits Reuters,Revenues a
business,047.txt,Ryanair in $4bn Boeing plane deal,Budget air
business,127.txt,Yukos owner sues Russia for $28bn,The majori
business,133.txt,Salary scandal in Cameroon,Cameroon s
business,480.txt,Wipro beats forecasts once again,"Wipro, Ind"
business,494.txt,SEC to rethink post-Enron rules,The US sto
business,319.txt,Euronext joins bid battle for LSE,Pan-Europe
business,325.txt,Indy buys into India paper,Irish publ
business,443.txt,Kraft cuts snack ads for children,Kraft plan
business,457.txt,Germany calls for EU reform,German Cha
business,331.txt,Disney settles disclosure charges,Walt Disne
business,456.txt,Gazprom 'in $36m back-tax claim',The nuclea
business,330.txt,Fresh hope after Argentine crisis,Three year
business,324.txt,Yukos seeks court action on sale,Yukos will
business,442.txt,Lesotho textile workers lose jobs,Six foreig
business,318.txt,Mystery surrounds new Yukos owner,The fate o
business,495.txt,BBC poll indicates economic gloom,Citizens i
business,481.txt,Christmas sales worst since 1981,UK retail 
business,132.txt,Brazil buy boosts Belgium's Inbev,Belgian br
business,126.txt,Barclays profits hit record level,"Barclays, "
business,046.txt,Industrial output falls in Japan,Japanese i
business,052.txt,Italy to get economic action plan,Italian Pr
business,085.txt,Home loan approvals rising again,The number
business,091.txt,Russia gets investment blessing,Soaring oi
business,244.txt,Market unfazed by Aurora setback,As the Aur
business,250.txt,Profits stall at China's Lenovo,Profits at
business,278.txt,SBC plans post-takeover job cuts,US phone c
business,287.txt,Japan's ageing workforce: built to last,In his twe
business,293.txt,Glazer makes new Man Utd approach,Malcolm Gl
business,285.txt,EU 'too slow' on economic reforms,Most EU co
business,291.txt,Tobacco giants hail court ruling,US tobacco
business,508.txt,HealthSouth ex-boss goes on trial,The former
business,246.txt,Ebbers 'aware' of WorldCom fraud,Former Wor
business,252.txt,BT offers equal access to rivals,BT has mov
business,087.txt,Worldcom boss 'left books alone',Former Wor
business,093.txt,Argentina closes $102.6bn debt swap,Argentina 
business,078.txt,Deadline nears for Fiat-GM deal,Fiat and G
business,044.txt,Japan economy slides to recession,The Japane
business,050.txt,Bad weather hits Nestle sales,A combinat
business,118.txt,Ericsson sees earnings improve,Telecoms e
business,130.txt,Aviation firms eye booming India,India's de
business,124.txt,Bargain calls widen Softbank loss,Japanese c
business,497.txt,FBI agent colludes with analyst,A former F
business,483.txt,Ailing EuroDisney vows turnaround,EuroDisney
business,468.txt,EU to probe Alitalia 'state aid',The Europe
business,332.txt,Putin backs state grab for Yukos,Russia's p
business,454.txt,LSE doubts boost bidders' shares,Shares in 
business,440.txt,US trade deficit widens sharply,The gap be
business,326.txt,Senior Fannie Mae bosses resign,The two mo
business,441.txt,Trade gap narrows as exports rise,The UK's t
business,327.txt,Cannabis hopes for drug firm,A prescrip
business,333.txt,Troubled Marsh under SEC scrutiny,The US sto
business,455.txt,Qantas considers offshore option,Australian
business,469.txt,IMF agrees fresh Turkey funding,Turkey has
business,482.txt,Businesses fail to plan for HIV,Companies 
business,496.txt,Europe asks Asia for euro help,European l
business,125.txt,WMC profits up amid bid criticism,Australian
business,131.txt,Russian oil merger excludes Yukos,The merger
business,119.txt,Bank opts to leave rates on hold,The Bank o
business,051.txt,Fiat mulls Ferrari market listing,Ferrari co
business,045.txt,US crude prices surge above $53,US crude p
business,079.txt,ID theft surge hits US consumers,Almost a q
business,092.txt,Iranian MPs threaten mobile deal,Turkey's b
business,086.txt,Manufacturing recovery 'slowing',UK manufac
business,253.txt,Jobs growth still slow in the US,The US cre
business,247.txt,Renault boss hails 'great year',Strong sal
business,509.txt,Euro firms miss out on optimism,More than 
business,290.txt,Bank holds interest rate at 4.75%,The Bank o
business,284.txt,Iraqi voters turn to economic issues,Beyond the
entertainment,289.txt,Musicians to tackle US red tape,Musicians'
entertainment,262.txt,U2's desire to be number one,"U2, who ha"
entertainment,276.txt,Rocker Doherty in on-stage fight,Rock singe
entertainment,060.txt,Snicket tops US box office chart,The film a
entertainment,074.txt,Ocean's Twelve raids box office,Ocean's Tw
entertainment,048.txt,'Landmark movies' of 2004 hailed,US film pr
entertainment,114.txt,Pete Doherty misses bail deadline,Singer Pet
entertainment,100.txt,Fockers retain film chart crown,Comedy Mee
entertainment,128.txt,Top gig award for Scissor Sisters,New York b
entertainment,316.txt,Johnny Depp: The acting outlaw,Johnny Dep
entertainment,302.txt,Actress Roberts takes spider role,Actress Ju
entertainment,303.txt,Film production 'falls' 40% in UK,The number
entertainment,317.txt,Patti Smith to host arts festival,Rock star 
entertainment,129.txt,Brits return Keane to number one,Brits succ
entertainment,101.txt,Sundance to honour foreign films,Internatio
